ID	MumID	Sex	LambAgeAugust	BirthYearF	RunDate	Plate	Age	AgeF	CapYearF	CapYear	LambAdult	IgAmp	IgEmp	IgGmp
6936	5147	F	2314	2008	42311	1	6	6	2014	2014	Adults	1.112375329	0.661158309	0.332481315
6938	6734	M	119	2008	42384	41	0	0	2008	2008	Lambs	0.635714012	0.078464191	0.27123363
6939	5151	M	105	2008	42384	41	0	0	2008	2008	Lambs	1.189466594	0.079578361	0.305572172
6940	5534	F	1573	2008	42320	20	4	4	2012	2012	Adults	1.093659136	0.293768681	0.468398759
6940	5534	F	1939	2008	42313	14	5	5	2013	2013	Adults	0.79570461	0.28714075	0.416749467
6940	5534	F	2298	2008	42311	1	6	6	2014	2014	Adults	1.312644058	0.39324384	0.513513858
6940	5534	F	2661	2008	42327	23	7	7	2015	2015	Adults	1.55969207	0.304791975	0.545425476
6943	3611	M	100	2008	42384	41	0	0	2008	2008	Lambs	0.548971418	0.008843486	0.064784362
6944	4380	F	101	2008	42384	41	0	0	2008	2008	Lambs	1.228885508	0.066561167	0.156870808
6944	4380	F	478	2008	42390	45	1	1	2009	2009	Adults	1.41871722	0.744094167	0.768916823
6944	4380	F	835	2008	42376	33	2	2	2010	2010	Adults	1.58002897	0.519021115	0.503674383
6944	4380	F	1572	2008	42319	19	4	4	2012	2012	Adults	1.866184017	0.393260733	0.434539797
6944	4380	F	1933	2008	42313	14	5	5	2013	2013	Adults	1.305405535	0.437998477	0.487143054
6944	4380	F	2305	2008	42311	1	6	6	2014	2014	Adults	1.580359816	0.229143767	0.384792249
6990	6154	F	116	2008	42383	40	0	0	2008	2008	Lambs	0.252721166	0.139746883	0.330065281
6992	5744	F	489	2008	42390	45	1	1	2009	2009	Adults	0.77671089	0.383741044	0.669386166
6992	5744	F	853	2008	42376	34	2	2	2010	2010	Adults	1.022585125	0.550477675	0.458380204
6993	5493	F	118	2008	42383	40	0	0	2008	2008	Lambs	1.615312033	0.176218135	0.503086593
6994	4671	F	121	2008	42383	40	0	0	2008	2008	Lambs	1.391593793	0.015210637	0.172055745
6995	5649	M	121	2008	42383	40	0	0	2008	2008	Lambs	0.555492834	0.481408864	0.258272234
6996	5528	F	NA	2008	42384	41	0	0	2008	2008	Lambs	0.406426739	0	0.216293411
6996	5528	F	NA	2008	42390	45	1	1	2009	2009	Adults	1.424684804	1.692003371	0.700053437
6996	5528	F	NA	2008	42376	33	2	2	2010	2010	Adults	1.354894533	1.151355375	0.344514488
